,address,price,price_change,area,list_fee,sold_date,price_sqm,sqm,rooms,Hiss,Uteplats,Nyproduktion,Balkong
0,Älvsborgsgatan 3,3495000,,Södermalm - Helgalunden,2698.0,2023-01-09,97083,36,2,1,0,0,0
1,"Älvsborgsgatan 3A, 2 tr",11000000,-0.04,Maria,5691.0,2023-01-09,103774,106,4,1,0,0,1
2,"John Ericssonsgatan 18, 3 tr",2815000,0.1,Kungsholmen,1013.0,2023-01-07,117292,24,1,1,0,0,1
3,"Torsgatan 70, 4 tr",3800000,,Vasastan,2210.0,2023-01-06,122581,31,2,1,0,0,0
4,"Frejgatan 33, 3tr",8700000,0.02,Vasastan - Sibirien,4758.0,2023-01-06,88776,98,4,1,0,0,1
5,Tjustgatan 3,3480000,0.16,Södermalm Katarina,2385.0,2023-01-06,94054,37,1.5,1,0,0,1
6,"Fatburstrappan 14, 3 tr",4650000,0.01,Södermalm,4256.0,2023-01-06,74400,"62,5",2,1,0,0,1
7,Rutger Fuchsgatan 2,3000000,,Sofia,1292.0,2023-01-05,100000,30,1,1,0,0,0
8,Sankt Göransgatan 152,4270000,-0.13,Kungsholmen / Stadshagen,3154.0,2023-01-05,72373,59,2,1,0,0,1
9,"Lindhagensgatan 104B, 2tr",4400000,0.1,Kungsholmen,3355.0,2023-01-05,69841,63,3,1,0,0,1
10,Artillerigatan 75,4400000,0.0,Östermalm,1684.0,2023-01-05,118919,37,1,1,0,0,0
11,Tullgårdsgatan 14,4660000,0.04,Södermalm - Sofia,3230.0,2023-01-05,84727,55,2,1,1,0,0
12,"Frejgatan 46B, 5tr",6720000,0.08,Vasastan,2474.0,2023-01-04,140000,48+16,2.5,1,1,0,1
13,Slipgatan 5,3250000,0.09,Hornstull,1838.0,2023-01-03,92857,35,1,1,0,0,1
14,Roslagsgatan 35A,3515000,0.0,Vasastan - Sibirien,1920.0,2023-01-03,90128,39,1,1,0,0,0
15,Tjärhovsgatan 22,2070000,-0.06,Södermalm,1810.0,2023-01-02,115000,18,1,1,0,0,0
16,"Lidnersgatan 12B, 5 tr",3200000,-0.02,Kungsholmen - Kristineberg,3115.0,2023-01-02,81013,"39,5",2,1,0,0,0
17,Eriksbergsgatan 42,13900000,0.0,Östermalm,3547.0,2023-01-02,139000,100,3,1,0,0,0
18,Torsplan 8,6350000,0.01,Vasastan/Hagastaden,4260.0,2023-01-02,105833,60,2,1,0,0,1
19,Torsplan 10,13500000,-0.14,Vasastan/Hagastaden,5287.0,2023-01-01,145161,93,4,1,0,0,1
20,"Östermalmsgatan 32, 3 tr.",6000000,0.04,Östermalm,3355.0,2022-12-30,113208,53,2,1,0,0,0
21,"Drakenbergsgatan 8, vån 8",6500000,-0.01,Högalid,3533.0,2022-12-30,76471,85,3,1,0,0,1
22,"Lindhagensterrassen 19, vån 12",3350000,0.12,Kungsholmen,1843.0,2022-12-30,85897,39,1,1,0,0,1
23,Döbelnsgatan 89,4400000,,Vasastan,967.0,2022-12-29,112821,39,2,1,0,0,0
24,"Lustgårdsgatan 14, 4tr",3750000,-0.01,Kungsholmen - Stadshagen,2287.0,2022-12-29,81522,46,2,1,0,0,1
25,Katarina bangata 49,4700000,-0.06,Södermalm,3124.0,2022-12-29,82456,57,2,1,0,0,0
26,"Tegelviksgatan 14, 6 tr.",7800000,-0.02,Södermalm \ Sofia,4101.0,2022-12-29,102632,76,3,1,0,1,1
27,"Krukmakargatan 61, högst upp",5400000,,Högalid,2975.0,2022-12-28,110204,49,2,0,0,0,1
28,"Sonja Kovalevskys Gata 3, vån 3",5350000,-0.03,Hagastaden Vasastan,2800.0,2022-12-28,95536,56,2,1,0,0,1
29,Idungatan 1B,4350000,0.0,Vasastan,2151.0,2022-12-28,98864,44,2,1,0,0,0
30,"Tulegatan 3, 3tr",9600000,0.01,Vasastan/Norrmalm,951.0,2022-12-28,101053,95,4,1,0,0,1
31,Torsgatan 27,8500000,0.0,Vasastaden,3703.0,2022-12-28,102410,83,3,1,0,0,0
32,Bjurholmsplan 23,3945000,-0.01,Katarina,3238.0,2022-12-27,87667,45,2,1,0,0,1
33,Birger Jarlsgatan 104A ,2745000,,Östermalm / Vasastan,1524.0,2022-12-27,130714,21,1,1,0,0,0
34,Jungfrugatan 19,3375000,-0.03,Östermalm,1068.0,2022-12-26,96429,35,1.5,1,0,0,0
35,Kapellgränd 4,21500000,,Södermalm,8316.0,2022-12-26,123563,174+35,5,1,0,0,1
36,Liljeholmsbron 8,3820000,0.14,Södermalm,2202.0,2022-12-23,90952,42,1,1,0,0,1
37,Tegelviksgatan 22,8475000,0.0,Södermalm,5432.0,2022-12-23,92120,92,4,1,0,0,1
38,"Norrbackagatan 23, 4 tr.",6330000,0.15,Vasastan,3634.0,2022-12-23,80637,"78,5",3,1,0,0,1
39,Hagaesplanaden 80,3100000,-0.06,Vasastan Hagastaden,2610.0,2022-12-23,89855,"34,5",2,1,0,1,0
